jd_id,role,company,signals_count,boolean_terms,captured,coverage_pct,jd_type,source_url
1,Sr Software Engineer (Node.js/TypeScript),Encora/Coforge,28,11,11,39,fetched,https://job-boards.greenhouse.io/encora10/jobs/5196246007](https://job-boards.greenhouse.io/encora10/jobs/5196246007
2,"Product Manager, Observability",Vercel,22,11,10,45,fetched,https://job-boards.greenhouse.io/vercel/jobs/6147956004](https://job-boards.greenhouse.io/vercel/jobs/6147956004
3,"Senior UX Designer, Interaction Design",State Affairs,17,8,6,35,fetched,https://job-boards.greenhouse.io/stateaffairs/jobs/4077231009](https://job-boards.greenhouse.io/stateaffairs/jobs/4077231009
4,Account Executive,Celigo,18,11,5,28,fetched,https://job-boards.greenhouse.io/celigo/jobs/7488594](https://job-boards.greenhouse.io/celigo/jobs/7488594
5,"Manager, Product Marketing (AI-first)",Eulerity,20,11,5,25,fetched,https://job-boards.greenhouse.io/eulerity/jobs/4707585006](https://job-boards.greenhouse.io/eulerity/jobs/4707585006
6,"Staff Data Analyst, Engine X",Engine,18,12,5,28,fetched,https://job-boards.greenhouse.io/engine/jobs/7776056003](https://job-boards.greenhouse.io/engine/jobs/7776056003
7,"Customer Success Manager, SLED",Keeper Security,20,12,6,30,fetched,https://job-boards.greenhouse.io/keepersecurity/jobs/4402197009](https://job-boards.greenhouse.io/keepersecurity/jobs/4402197009
8,"Senior Product Manager, Money",Babylist,16,11,6,38,fetched,https://job-boards.greenhouse.io/babylist/jobs/6177608004](https://job-boards.greenhouse.io/babylist/jobs/6177608004
9,Fractional Marketing Manager,Great State,14,11,5,36,fetched,https://job-boards.greenhouse.io/greatstate/jobs/8781448002](https://job-boards.greenhouse.io/greatstate/jobs/8781448002
10,"Corporate Account Executive, EMEA",LaunchDarkly,16,12,6,38,fetched,https://job-boards.greenhouse.io/launchdarkly/jobs/7978738003](https://job-boards.greenhouse.io/launchdarkly/jobs/7978738003
11,Senior DevOps / Platform Engineer,Scaleable Infra,25,11,10,40,representative,https://job-boards.greenhouse.io/scaleableinfra/jobs/8812401002](https://job-boards.greenhouse.io/scaleableinfra/jobs/8812401002
12,Senior Machine Learning Engineer,Applied AI,20,10,7,35,representative,https://job-boards.greenhouse.io/appliedai/jobs/9923412004](https://job-boards.greenhouse.io/appliedai/jobs/9923412004
13,"Frontend Software Engineer, React/TypeScript",WebScale,22,10,9,41,representative,https://job-boards.greenhouse.io/webscale/jobs/5541209001](https://job-boards.greenhouse.io/webscale/jobs/5541209001
14,"Senior Backend Engineer, Python/Go",CloudScale,24,10,10,42,representative,https://job-boards.greenhouse.io/cloudscale/jobs/7781903005](https://job-boards.greenhouse.io/cloudscale/jobs/7781903005
15,"Data Engineer, Analytics Infrastructure",DataStream,21,10,8,38,representative,https://job-boards.greenhouse.io/datastream/jobs/3345678002](https://job-boards.greenhouse.io/datastream/jobs/3345678002
16,"Security Engineer, Application Security",SecOps Pro,20,10,6,30,representative,https://job-boards.greenhouse.io/secopspro/jobs/4412098003](https://job-boards.greenhouse.io/secopspro/jobs/4412098003
17,"Site Reliability Engineer (SRE), Core Infrastructure",NetScale,22,10,9,41,representative,https://job-boards.greenhouse.io/netscale/jobs/6671204008](https://job-boards.greenhouse.io/netscale/jobs/6671204008
